,Student Roll Number,Student Name,No. of Courses Required,Pref 1,Pref 2,Pref 3,Pref 4,Pref 5,Pref 6,Pref 7,Pref 8,Pref 9,Pref 10,Pref 11,Pref 12,Pref 13,Pref 14,Pref 15,Pref 16,Pref 17,Pref 18,Pref 19,Pref 20,Pref 21,Pref 22,Pref 23,Pref 24,Pref 25,Pref 26,Pref 27,Pref 28,Pref 29,Pref 30
244,17110245, ,3,HS005,HS002,HS016,HS014,HS003,HS010,HS009,HS004,HS020,HS019,HS026,HS001,HS015,HS023,HS011,HS027,HS021,HS030,HS012,HS006,HS007,HS008,HS013,HS017,HS018,HS022,HS024,HS025,HS028,HS029
245,17110246, ,2,HS013,HS021,HS024,HS028,HS029,HS016,HS025,HS027,HS005,HS001,HS002,HS003,HS004,HS006,HS007,HS008,HS009,HS010,HS011,HS012,HS014,HS015,HS017,HS018,HS019,HS020,HS022,HS023,HS026,HS030
246,17110247, ,1,HS020,HS009,HS030,HS001,HS003,HS026,HS029,HS008,HS022,HS002,HS004,HS005,HS006,HS007,HS010,HS011,HS012,HS013,HS014,HS015,HS016,HS017,HS018,HS019,HS021,HS023,HS024,HS025,HS027,HS028
247,17110248, ,3,HS023,HS024,HS001,HS002,HS003,HS004,HS005,HS006,HS007,HS008,HS009,HS010,HS011,HS012,HS013,HS014,HS015,HS016,HS017,HS018,HS019,HS020,HS021,HS022,HS025,HS026,HS027,HS028,HS029,HS030
248,17110249, ,1,HS018,HS025,HS004,HS013,HS009,HS002,HS021,HS006,HS020,HS024,HS008,HS022,HS001,HS007,HS029,HS016,HS011,HS010,HS026,HS017,HS005,HS003,HS019,HS030,HS027,HS028,HS012,HS015,HS014,HS023
249,17110250, ,2,HS018,HS007,HS013,HS016,HS012,HS011,HS009,HS019,HS022,HS005,HS006,HS014,HS003,HS021,HS010,HS001,HS029,HS015,HS027,HS030,HS020,HS026,HS002,HS004,HS008,HS017,HS023,HS024,HS025,HS028
250,18110001, ,2,HS005,HS024,HS021,HS001,HS002,HS003,HS004,HS006,HS007,HS008,HS009,HS010,HS011,HS012,HS013,HS014,HS015,HS016,HS017,HS018,HS019,HS020,HS022,HS023,HS025,HS026,HS027,HS028,HS029,HS030
251,18110002, ,2,HS012,HS026,HS022,HS007,HS005,HS020,HS001,HS002,HS003,HS004,HS006,HS008,HS009,HS010,HS011,HS013,HS014,HS015,HS016,HS017,HS018,HS019,HS021,HS023,HS024,HS025,HS027,HS028,HS029,HS030
252,18110003, ,2,HS016,HS001,HS006,HS015,HS007,HS003,HS024,HS012,HS022,HS019,HS028,HS021,HS002,HS017,HS027,HS013,HS025,HS004,HS005,HS008,HS009,HS010,HS011,HS014,HS018,HS020,HS023,HS026,HS029,HS030
253,18110004, ,1,HS017,HS022,HS008,HS007,HS019,HS015,HS029,HS004,HS026,HS012,HS024,HS025,HS018,HS003,HS028,HS011,HS010,HS020,HS006,HS001,HS002,HS005,HS009,HS013,HS014,HS016,HS021,HS023,HS027,HS030
254,18110005, ,1,HS006,HS003,HS026,HS016,HS025,HS021,HS012,HS007,HS019,HS004,HS018,HS009,HS001,HS002,HS005,HS008,HS010,HS011,HS013,HS014,HS015,HS017,HS020,HS022,HS023,HS024,HS027,HS028,HS029,HS030
255,18110006, ,1,HS009,HS029,HS007,HS006,HS001,HS028,HS010,HS025,HS015,HS016,HS005,HS020,HS030,HS003,HS004,HS014,HS012,HS023,HS008,HS021,HS011,HS002,HS013,HS017,HS018,HS019,HS022,HS024,HS026,HS027
256,18110007, ,3,HS027,HS030,HS025,HS011,HS001,HS009,HS003,HS005,HS026,HS014,HS002,HS004,HS006,HS007,HS008,HS010,HS012,HS013,HS015,HS016,HS017,HS018,HS019,HS020,HS021,HS022,HS023,HS024,HS028,HS029
257,18110008, ,2,HS020,HS019,HS005,HS004,HS029,HS017,HS008,HS025,HS030,HS018,HS026,HS001,HS002,HS003,HS006,HS007,HS009,HS010,HS011,HS012,HS013,HS014,HS015,HS016,HS021,HS022,HS023,HS024,HS027,HS028
258,18110009, ,2,HS030,HS016,HS021,HS025,HS020,HS005,HS004,HS017,HS007,HS012,HS003,HS028,HS029,HS001,HS023,HS009,HS011,HS026,HS006,HS018,HS008,HS013,HS014,HS024,HS019,HS022,HS027,HS002,HS010,HS015
259,18110010, ,3,HS010,HS009,HS025,HS017,HS021,HS020,HS007,HS028,HS018,HS013,HS012,HS001,HS016,HS011,HS008,HS004,HS003,HS002,HS005,HS006,HS014,HS015,HS019,HS022,HS023,HS024,HS026,HS027,HS029,HS030
260,18110011, ,1,HS025,HS001,HS017,HS018,HS014,HS011,HS010,HS016,HS021,HS013,HS020,HS027,HS026,HS007,HS003,HS006,HS029,HS005,HS023,HS024,HS009,HS022,HS008,HS030,HS012,HS028,HS019,HS002,HS004,HS015
261,18110012, ,1,HS025,HS020,HS007,HS014,HS024,HS027,HS030,HS001,HS002,HS003,HS004,HS005,HS006,HS008,HS009,HS010,HS011,HS012,HS013,HS015,HS016,HS017,HS018,HS019,HS021,HS022,HS023,HS026,HS028,HS029
262,18110013, ,2,HS012,HS014,HS017,HS003,HS006,HS016,HS008,HS028,HS001,HS002,HS004,HS005,HS007,HS009,HS010,HS011,HS013,HS015,HS018,HS019,HS020,HS021,HS022,HS023,HS024,HS025,HS026,HS027,HS029,HS030
263,18110014, ,3,HS026,HS021,HS009,HS022,HS003,HS029,HS017,HS019,HS012,HS018,HS005,HS025,HS011,HS007,HS023,HS008,HS006,HS002,HS027,HS016,HS015,HS001,HS004,HS020,HS010,HS013,HS014,HS024,HS028,HS030
264,18110015, ,2,HS020,HS024,HS013,HS028,HS008,HS001,HS019,HS023,HS022,HS015,HS017,HS010,HS021,HS011,HS006,HS009,HS018,HS016,HS027,HS029,HS005,HS002,HS007,HS003,HS026,HS004,HS030,HS025,HS012,HS014
265,18110016, ,2,HS011,HS004,HS010,HS014,HS003,HS024,HS028,HS012,HS001,HS002,HS027,HS021,HS029,HS026,HS008,HS025,HS005,HS016,HS018,HS006,HS023,HS019,HS007,HS009,HS013,HS015,HS017,HS020,HS022,HS030
266,18110017, ,3,HS023,HS028,HS020,HS018,HS029,HS014,HS005,HS022,HS007,HS004,HS009,HS008,HS030,HS025,HS001,HS002,HS003,HS006,HS010,HS011,HS012,HS013,HS015,HS016,HS017,HS019,HS021,HS024,HS026,HS027
267,18110018, ,1,HS028,HS006,HS018,HS013,HS001,HS010,HS009,HS007,HS016,HS022,HS011,HS012,HS005,HS025,HS021,HS008,HS027,HS003,HS024,HS015,HS017,HS026,HS023,HS014,HS004,HS002,HS019,HS020,HS029,HS030
268,18110019, ,2,HS001,HS010,HS011,HS018,HS025,HS016,HS003,HS004,HS019,HS021,HS028,HS015,HS017,HS002,HS005,HS006,HS007,HS008,HS009,HS012,HS013,HS014,HS020,HS022,HS023,HS024,HS026,HS027,HS029,HS030
269,18110020, ,3,HS005,HS029,HS001,HS024,HS013,HS007,HS028,HS012,HS023,HS002,HS003,HS004,HS006,HS008,HS009,HS010,HS011,HS014,HS015,HS016,HS017,HS018,HS019,HS020,HS021,HS022,HS025,HS026,HS027,HS030
270,18110021, ,1,HS027,HS012,HS011,HS025,HS028,HS001,HS002,HS003,HS004,HS005,HS006,HS007,HS008,HS009,HS010,HS013,HS014,HS015,HS016,HS017,HS018,HS019,HS020,HS021,HS022,HS023,HS024,HS026,HS029,HS030
271,18110022, ,2,HS023,HS020,HS027,HS010,HS025,HS019,HS014,HS003,HS029,HS024,HS012,HS018,HS026,HS016,HS013,HS028,HS001,HS021,HS002,HS007,HS008,HS009,HS005,HS022,HS004,HS006,HS015,HS030,HS017,HS011
272,18110023, ,1,HS021,HS018,HS003,HS008,HS019,HS017,HS027,HS028,HS001,HS002,HS004,HS005,HS006,HS007,HS009,HS010,HS011,HS012,HS013,HS014,HS015,HS016,HS020,HS022,HS023,HS024,HS025,HS026,HS029,HS030
273,18110024, ,1,HS004,HS007,HS030,HS014,HS010,HS024,HS008,HS026,HS003,HS006,HS016,HS022,HS027,HS009,HS028,HS001,HS002,HS005,HS011,HS012,HS013,HS015,HS017,HS018,HS019,HS020,HS021,HS023,HS025,HS029
274,18110025, ,3,HS007,HS012,HS022,HS029,HS004,HS008,HS018,HS021,HS009,HS013,HS006,HS003,HS028,HS020,HS017,HS011,HS002,HS019,HS016,HS014,HS001,HS005,HS010,HS015,HS023,HS024,HS025,HS026,HS027,HS030
275,18110026, ,2,HS003,HS001,HS002,HS004,HS005,HS006,HS007,HS008,HS009,HS010,HS011,HS012,HS013,HS014,HS015,HS016,HS017,HS018,HS019,HS020,HS021,HS022,HS023,HS024,HS025,HS026,HS027,HS028,HS029,HS030
276,18110027, ,3,HS001,HS010,HS024,HS013,HS017,HS022,HS029,HS009,HS027,HS011,HS007,HS015,HS004,HS014,HS008,HS019,HS018,HS002,HS016,HS020,HS023,HS012,HS030,HS021,HS005,HS028,HS003,HS006,HS025,HS026
277,18110028, ,3,HS016,HS020,HS023,HS024,HS001,HS002,HS003,HS004,HS005,HS006,HS007,HS008,HS009,HS010,HS011,HS012,HS013,HS014,HS015,HS017,HS018,HS019,HS021,HS022,HS025,HS026,HS027,HS028,HS029,HS030
278,18110029, ,3,HS010,HS017,HS022,HS021,HS009,HS026,HS002,HS007,HS030,HS014,HS020,HS023,HS006,HS001,HS003,HS004,HS005,HS008,HS011,HS012,HS013,HS015,HS016,HS018,HS019,HS024,HS025,HS027,HS028,HS029
279,18110030, ,3,HS010,HS002,HS024,HS014,HS019,HS026,HS016,HS025,HS001,HS015,HS017,HS003,HS004,HS005,HS006,HS007,HS008,HS009,HS011,HS012,HS013,HS018,HS020,HS021,HS022,HS023,HS027,HS028,HS029,HS030
280,18110031, ,3,HS004,HS008,HS021,HS028,HS018,HS017,HS001,HS002,HS003,HS005,HS006,HS007,HS009,HS010,HS011,HS012,HS013,HS014,HS015,HS016,HS019,HS020,HS022,HS023,HS024,HS025,HS026,HS027,HS029,HS030
281,18110032, ,2,HS011,HS016,HS030,HS001,HS002,HS003,HS004,HS005,HS006,HS007,HS008,HS009,HS010,HS012,HS013,HS014,HS015,HS017,HS018,HS019,HS020,HS021,HS022,HS023,HS024,HS025,HS026,HS027,HS028,HS029
282,18110033, ,1,HS006,HS016,HS025,HS017,HS007,HS029,HS004,HS009,HS001,HS022,HS026,HS002,HS003,HS005,HS008,HS010,HS011,HS012,HS013,HS014,HS015,HS018,HS019,HS020,HS021,HS023,HS024,HS027,HS028,HS030
283,18110034, ,1,HS013,HS010,HS029,HS023,HS006,HS008,HS016,HS018,HS024,HS030,HS022,HS015,HS007,HS025,HS012,HS021,HS003,HS004,HS009,HS002,HS019,HS017,HS005,HS011,HS028,HS014,HS020,HS026,HS027,HS001
284,18110035, ,1,HS019,HS020,HS025,HS002,HS011,HS016,HS006,HS027,HS003,HS010,HS029,HS004,HS028,HS022,HS001,HS005,HS007,HS008,HS009,HS012,HS013,HS014,HS015,HS017,HS018,HS021,HS023,HS024,HS026,HS030
285,18110036, ,1,HS005,HS017,HS001,HS002,HS003,HS004,HS006,HS007,HS008,HS009,HS010,HS011,HS012,HS013,HS014,HS015,HS016,HS018,HS019,HS020,HS021,HS022,HS023,HS024,HS025,HS026,HS027,HS028,HS029,HS030
286,18110037, ,2,HS027,HS022,HS009,HS028,HS030,HS001,HS026,HS024,HS010,HS020,HS005,HS004,HS006,HS018,HS012,HS013,HS011,HS015,HS029,HS021,HS002,HS023,HS008,HS003,HS007,HS014,HS016,HS017,HS019,HS025
287,18110038, ,2,HS001,HS021,HS019,HS010,HS025,HS006,HS002,HS017,HS016,HS028,HS012,HS015,HS018,HS014,HS024,HS026,HS003,HS020,HS008,HS030,HS011,HS009,HS004,HS005,HS007,HS013,HS022,HS023,HS027,HS029
288,18110039, ,3,HS028,HS005,HS012,HS004,HS009,HS014,HS011,HS008,HS007,HS019,HS029,HS022,HS027,HS002,HS013,HS001,HS023,HS003,HS006,HS010,HS015,HS016,HS017,HS018,HS020,HS021,HS024,HS025,HS026,HS030
289,18110040, ,2,HS029,HS023,HS001,HS002,HS003,HS004,HS005,HS006,HS007,HS008,HS009,HS010,HS011,HS012,HS013,HS014,HS015,HS016,HS017,HS018,HS019,HS020,HS021,HS022,HS024,HS025,HS026,HS027,HS028,HS030
290,18110041, ,3,HS030,HS010,HS014,HS006,HS001,HS026,HS003,HS005,HS004,HS016,HS028,HS007,HS012,HS015,HS019,HS020,HS002,HS013,HS029,HS022,HS008,HS011,HS021,HS027,HS025,HS023,HS018,HS017,HS009,HS024
291,18110042, ,1,HS010,HS005,HS006,HS023,HS012,HS001,HS002,HS003,HS004,HS007,HS008,HS009,HS011,HS013,HS014,HS015,HS016,HS017,HS018,HS019,HS020,HS021,HS022,HS024,HS025,HS026,HS027,HS028,HS029,HS030
292,18110043, ,1,HS006,HS001,HS030,HS023,HS002,HS009,HS004,HS010,HS014,HS018,HS026,HS029,HS028,HS008,HS015,HS019,HS022,HS007,HS011,HS021,HS016,HS013,HS027,HS005,HS024,HS003,HS012,HS017,HS020,HS025
293,18110044, ,1,HS011,HS018,HS001,HS014,HS025,HS019,HS020,HS012,HS002,HS003,HS004,HS005,HS006,HS007,HS008,HS009,HS010,HS013,HS015,HS016,HS017,HS021,HS022,HS023,HS024,HS026,HS027,HS028,HS029,HS030
294,18110045, ,1,HS012,HS023,HS005,HS001,HS002,HS003,HS004,HS006,HS007,HS008,HS009,HS010,HS011,HS013,HS014,HS015,HS016,HS017,HS018,HS019,HS020,HS021,HS022,HS024,HS025,HS026,HS027,HS028,HS029,HS030
295,18110046, ,2,HS009,HS021,HS007,HS026,HS030,HS010,HS022,HS020,HS024,HS019,HS018,HS008,HS025,HS015,HS006,HS027,HS001,HS013,HS011,HS014,HS029,HS017,HS016,HS003,HS028,HS002,HS004,HS023,HS005,HS012
296,18110047, ,2,HS030,HS008,HS019,HS010,HS007,HS004,HS012,HS018,HS026,HS025,HS021,HS016,HS027,HS022,HS023,HS002,HS020,HS009,HS013,HS005,HS011,HS001,HS003,HS006,HS014,HS015,HS017,HS024,HS028,HS029
297,18110048, ,1,HS009,HS011,HS024,HS025,HS017,HS005,HS003,HS015,HS007,HS004,HS027,HS002,HS010,HS022,HS030,HS018,HS013,HS023,HS008,HS016,HS019,HS028,HS020,HS001,HS006,HS012,HS014,HS021,HS026,HS029
298,18110049, ,2,HS020,HS025,HS030,HS021,HS009,HS027,HS008,HS013,HS010,HS026,HS022,HS028,HS023,HS002,HS018,HS003,HS001,HS004,HS005,HS006,HS007,HS011,HS012,HS014,HS015,HS016,HS017,HS019,HS024,HS029
299,18110050, ,1,HS007,HS002,HS006,HS025,HS003,HS023,HS012,HS024,HS005,HS017,HS011,HS026,HS010,HS019,HS022,HS016,HS013,HS001,HS004,HS008,HS009,HS014,HS015,HS018,HS020,HS021,HS027,HS028,HS029,HS030
300,18110051, ,1,HS030,HS009,HS005,HS001,HS002,HS003,HS004,HS006,HS007,HS008,HS010,HS011,HS012,HS013,HS014,HS015,HS016,HS017,HS018,HS019,HS020,HS021,HS022,HS023,HS024,HS025,HS026,HS027,HS028,HS029
301,18110052, ,2,HS029,HS015,HS012,HS018,HS024,HS025,HS028,HS022,HS004,HS010,HS020,HS021,HS016,HS011,HS030,HS014,HS017,HS003,HS009,HS027,HS002,HS013,HS007,HS001,HS008,HS023,HS019,HS006,HS005,HS026
302,18110053, ,3,HS021,HS026,HS004,HS003,HS029,HS002,HS018,HS015,HS006,HS027,HS001,HS005,HS007,HS008,HS009,HS010,HS011,HS012,HS013,HS014,HS016,HS017,HS019,HS020,HS022,HS023,HS024,HS025,HS028,HS030
303,18110054, ,1,HS003,HS028,HS021,HS017,HS001,HS013,HS026,HS014,HS025,HS023,HS029,HS020,HS022,HS027,HS009,HS011,HS018,HS015,HS030,HS010,HS002,HS004,HS005,HS006,HS007,HS008,HS012,HS016,HS019,HS024
304,18110055, ,3,HS024,HS019,HS025,HS002,HS023,HS008,HS027,HS005,HS017,HS001,HS003,HS004,HS006,HS007,HS009,HS010,HS011,HS012,HS013,HS014,HS015,HS016,HS018,HS020,HS021,HS022,HS026,HS028,HS029,HS030
305,18110056, ,1,HS026,HS001,HS020,HS028,HS019,HS027,HS023,HS004,HS025,HS005,HS003,HS008,HS012,HS030,HS022,HS018,HS011,HS002,HS006,HS007,HS009,HS010,HS013,HS014,HS015,HS016,HS017,HS021,HS024,HS029
306,18110057, ,2,HS020,HS026,HS013,HS018,HS005,HS001,HS002,HS003,HS004,HS006,HS007,HS008,HS009,HS010,HS011,HS012,HS014,HS015,HS016,HS017,HS019,HS021,HS022,HS023,HS024,HS025,HS027,HS028,HS029,HS030
307,18110058, ,3,HS005,HS029,HS022,HS027,HS013,HS019,HS028,HS012,HS003,HS026,HS009,HS015,HS010,HS001,HS014,HS021,HS023,HS008,HS002,HS004,HS006,HS007,HS011,HS016,HS017,HS018,HS020,HS024,HS025,HS030
308,18110059, ,1,HS007,HS012,HS004,HS001,HS009,HS014,HS018,HS013,HS008,HS028,HS030,HS015,HS029,HS017,HS024,HS006,HS027,HS022,HS003,HS002,HS010,HS020,HS005,HS011,HS026,HS016,HS019,HS021,HS023,HS025
309,18110060, ,3,HS020,HS011,HS003,HS001,HS002,HS004,HS005,HS006,HS007,HS008,HS009,HS010,HS012,HS013,HS014,HS015,HS016,HS017,HS018,HS019,HS021,HS022,HS023,HS024,HS025,HS026,HS027,HS028,HS029,HS030
310,18110061, ,2,HS027,HS007,HS010,HS004,HS029,HS022,HS013,HS012,HS002,HS020,HS003,HS001,HS005,HS006,HS008,HS009,HS011,HS014,HS015,HS016,HS017,HS018,HS019,HS021,HS023,HS024,HS025,HS026,HS028,HS030
311,18110062, ,3,HS023,HS024,HS030,HS026,HS001,HS002,HS003,HS004,HS005,HS006,HS007,HS008,HS009,HS010,HS011,HS012,HS013,HS014,HS015,HS016,HS017,HS018,HS019,HS020,HS021,HS022,HS025,HS027,HS028,HS029
312,18110063, ,1,HS014,HS023,HS024,HS022,HS025,HS030,HS004,HS010,HS003,HS028,HS013,HS001,HS012,HS015,HS029,HS020,HS018,HS002,HS009,HS027,HS006,HS005,HS007,HS008,HS011,HS016,HS017,HS019,HS021,HS026
313,18110064, ,2,HS014,HS013,HS022,HS023,HS015,HS004,HS028,HS011,HS024,HS001,HS016,HS002,HS003,HS005,HS006,HS007,HS008,HS009,HS010,HS012,HS017,HS018,HS019,HS020,HS021,HS025,HS026,HS027,HS029,HS030
314,18110065, ,2,HS017,HS014,HS001,HS002,HS003,HS004,HS005,HS006,HS007,HS008,HS009,HS010,HS011,HS012,HS013,HS015,HS016,HS018,HS019,HS020,HS021,HS022,HS023,HS024,HS025,HS026,HS027,HS028,HS029,HS030
315,18110066, ,3,HS015,HS014,HS030,HS001,HS002,HS003,HS004,HS005,HS006,HS007,HS008,HS009,HS010,HS011,HS012,HS013,HS016,HS017,HS018,HS019,HS020,HS021,HS022,HS023,HS024,HS025,HS026,HS027,HS028,HS029
316,18110067, ,2,HS014,HS022,HS007,HS001,HS002,HS003,HS004,HS005,HS006,HS008,HS009,HS010,HS011,HS012,HS013,HS015,HS016,HS017,HS018,HS019,HS020,HS021,HS023,HS024,HS025,HS026,HS027,HS028,HS029,HS030
317,18110068, ,2,HS021,HS030,HS018,HS016,HS001,HS002,HS004,HS009,HS006,HS003,HS025,HS027,HS014,HS029,HS017,HS010,HS019,HS028,HS013,HS020,HS015,HS011,HS024,HS012,HS022,HS023,HS005,HS007,HS008,HS026
318,18110069, ,2,HS024,HS002,HS023,HS019,HS011,HS025,HS003,HS004,HS016,HS026,HS015,HS010,HS017,HS008,HS030,HS001,HS005,HS006,HS007,HS009,HS012,HS013,HS014,HS018,HS020,HS021,HS022,HS027,HS028,HS029
319,18110070, ,2,HS030,HS008,HS021,HS012,HS027,HS003,HS019,HS025,HS011,HS009,HS028,HS017,HS022,HS002,HS013,HS014,HS018,HS023,HS016,HS006,HS020,HS026,HS015,HS024,HS029,HS010,HS001,HS005,HS004,HS007
320,18110071, ,3,HS022,HS009,HS014,HS027,HS026,HS023,HS001,HS002,HS003,HS004,HS005,HS006,HS007,HS008,HS010,HS011,HS012,HS013,HS015,HS016,HS017,HS018,HS019,HS020,HS021,HS024,HS025,HS028,HS029,HS030
321,18110072, ,2,HS002,HS014,HS013,HS001,HS016,HS018,HS020,HS008,HS028,HS029,HS012,HS010,HS015,HS022,HS023,HS011,HS009,HS004,HS017,HS024,HS021,HS027,HS030,HS003,HS005,HS006,HS007,HS019,HS025,HS026
322,18110073, ,2,HS008,HS024,HS006,HS017,HS015,HS028,HS023,HS020,HS004,HS009,HS029,HS027,HS019,HS014,HS026,HS007,HS012,HS021,HS001,HS002,HS018,HS003,HS005,HS010,HS011,HS013,HS016,HS022,HS025,HS030
323,18110074, ,1,HS001,HS004,HS023,HS008,HS028,HS027,HS009,HS015,HS014,HS025,HS030,HS029,HS003,HS021,HS012,HS013,HS010,HS002,HS005,HS006,HS007,HS011,HS016,HS017,HS018,HS019,HS020,HS022,HS024,HS026
324,18110075, ,2,HS028,HS005,HS013,HS017,HS025,HS015,HS030,HS006,HS010,HS009,HS027,HS001,HS003,HS008,HS018,HS004,HS026,HS023,HS024,HS014,HS021,HS020,HS029,HS016,HS011,HS022,HS007,HS012,HS002,HS019
325,18110076, ,2,HS007,HS024,HS026,HS013,HS029,HS020,HS019,HS006,HS005,HS010,HS009,HS021,HS023,HS015,HS018,HS004,HS017,HS028,HS001,HS002,HS003,HS008,HS011,HS012,HS014,HS016,HS022,HS025,HS027,HS030
326,18110077, ,2,HS025,HS006,HS011,HS018,HS015,HS029,HS001,HS002,HS003,HS004,HS005,HS007,HS008,HS009,HS010,HS012,HS013,HS014,HS016,HS017,HS019,HS020,HS021,HS022,HS023,HS024,HS026,HS027,HS028,HS030
327,18110078, ,1,HS020,HS006,HS013,HS018,HS028,HS030,HS014,HS021,HS010,HS022,HS009,HS019,HS024,HS007,HS002,HS004,HS011,HS005,HS026,HS015,HS003,HS012,HS001,HS017,HS025,HS008,HS023,HS016,HS027,HS029
328,18110079, ,2,HS025,HS008,HS013,HS019,HS006,HS001,HS007,HS022,HS002,HS003,HS004,HS005,HS009,HS010,HS011,HS012,HS014,HS015,HS016,HS017,HS018,HS020,HS021,HS023,HS024,HS026,HS027,HS028,HS029,HS030
329,18110080, ,1,HS002,HS015,HS024,HS011,HS006,HS014,HS005,HS022,HS009,HS001,HS003,HS004,HS007,HS008,HS010,HS012,HS013,HS016,HS017,HS018,HS019,HS020,HS021,HS023,HS025,HS026,HS027,HS028,HS029,HS030
330,18110081, ,3,HS004,HS016,HS007,HS011,HS015,HS030,HS003,HS022,HS006,HS026,HS027,HS025,HS028,HS009,HS020,HS008,HS019,HS024,HS001,HS017,HS014,HS021,HS010,HS002,HS005,HS012,HS013,HS018,HS023,HS029
331,18110082, ,3,HS008,HS007,HS026,HS015,HS021,HS001,HS002,HS003,HS004,HS005,HS006,HS009,HS010,HS011,HS012,HS013,HS014,HS016,HS017,HS018,HS019,HS020,HS022,HS023,HS024,HS025,HS027,HS028,HS029,HS030
332,18110083, ,2,HS004,HS012,HS002,HS010,HS019,HS011,HS027,HS020,HS018,HS005,HS030,HS007,HS023,HS001,HS014,HS028,HS025,HS029,HS015,HS026,HS008,HS003,HS009,HS021,HS006,HS013,HS016,HS017,HS022,HS024
333,18110084, ,1,HS026,HS027,HS020,HS003,HS022,HS014,HS015,HS029,HS001,HS008,HS012,HS023,HS018,HS028,HS013,HS021,HS002,HS007,HS025,HS009,HS010,HS011,HS016,HS004,HS024,HS017,HS005,HS006,HS019,HS030
334,18110085, ,2,HS006,HS014,HS004,HS030,HS007,HS015,HS024,HS029,HS016,HS026,HS022,HS019,HS011,HS025,HS010,HS028,HS008,HS009,HS023,HS013,HS001,HS002,HS003,HS005,HS012,HS017,HS018,HS020,HS021,HS027
335,18110086, ,1,HS017,HS011,HS030,HS023,HS027,HS024,HS013,HS026,HS019,HS008,HS005,HS020,HS025,HS004,HS021,HS022,HS009,HS018,HS001,HS007,HS028,HS002,HS014,HS029,HS003,HS006,HS010,HS012,HS015,HS016
336,18110087, ,1,HS024,HS025,HS029,HS007,HS008,HS001,HS021,HS003,HS019,HS023,HS002,HS004,HS005,HS006,HS009,HS010,HS011,HS012,HS013,HS014,HS015,HS016,HS017,HS018,HS020,HS022,HS026,HS027,HS028,HS030
337,18110088, ,2,HS028,HS002,HS022,HS021,HS023,HS017,HS004,HS006,HS010,HS025,HS005,HS009,HS016,HS018,HS007,HS001,HS003,HS008,HS011,HS012,HS013,HS014,HS015,HS019,HS020,HS024,HS026,HS027,HS029,HS030
338,18110089, ,1,HS011,HS026,HS021,HS020,HS009,HS028,HS012,HS001,HS023,HS029,HS002,HS003,HS004,HS005,HS006,HS007,HS008,HS010,HS013,HS014,HS015,HS016,HS017,HS018,HS019,HS022,HS024,HS025,HS027,HS030
339,18110090, ,3,HS029,HS021,HS001,HS002,HS003,HS004,HS005,HS006,HS007,HS008,HS009,HS010,HS011,HS012,HS013,HS014,HS015,HS016,HS017,HS018,HS019,HS020,HS022,HS023,HS024,HS025,HS026,HS027,HS028,HS030
340,18110091, ,2,HS003,HS005,HS004,HS017,HS001,HS002,HS006,HS007,HS008,HS009,HS010,HS011,HS012,HS013,HS014,HS015,HS016,HS018,HS019,HS020,HS021,HS022,HS023,HS024,HS025,HS026,HS027,HS028,HS029,HS030
341,18110092, ,1,HS002,HS001,HS003,HS004,HS005,HS006,HS007,HS008,HS009,HS010,HS011,HS012,HS013,HS014,HS015,HS016,HS017,HS018,HS019,HS020,HS021,HS022,HS023,HS024,HS025,HS026,HS027,HS028,HS029,HS030
342,18110093, ,2,HS008,HS026,HS029,HS013,HS017,HS002,HS005,HS001,HS024,HS028,HS021,HS014,HS010,HS006,HS009,HS027,HS011,HS023,HS022,HS012,HS025,HS030,HS003,HS007,HS004,HS015,HS016,HS018,HS019,HS020
343,18110094, ,1,HS012,HS030,HS015,HS001,HS002,HS003,HS004,HS005,HS006,HS007,HS008,HS009,HS010,HS011,HS013,HS014,HS016,HS017,HS018,HS019,HS020,HS021,HS022,HS023,HS024,HS025,HS026,HS027,HS028,HS029
344,18110095, ,2,HS009,HS004,HS019,HS003,HS015,HS030,HS029,HS006,HS016,HS021,HS025,HS011,HS024,HS013,HS001,HS002,HS005,HS007,HS008,HS010,HS012,HS014,HS017,HS018,HS020,HS022,HS023,HS026,HS027,HS028
345,18110096, ,3,HS015,HS001,HS010,HS002,HS011,HS018,HS029,HS028,HS004,HS008,HS016,HS026,HS013,HS017,HS003,HS005,HS006,HS007,HS009,HS012,HS014,HS019,HS020,HS021,HS022,HS023,HS024,HS025,HS027,HS030
346,18110097, ,2,HS029,HS012,HS021,HS023,HS018,HS022,HS019,HS003,HS014,HS025,HS001,HS002,HS004,HS005,HS006,HS007,HS008,HS009,HS010,HS011,HS013,HS015,HS016,HS017,HS020,HS024,HS026,HS027,HS028,HS030
347,18110098, ,1,HS022,HS013,HS008,HS030,HS020,HS005,HS009,HS025,HS026,HS001,HS002,HS003,HS004,HS006,HS007,HS010,HS011,HS012,HS014,HS015,HS016,HS017,HS018,HS019,HS021,HS023,HS024,HS027,HS028,HS029
348,18110099, ,2,HS021,HS028,HS030,HS005,HS003,HS006,HS011,HS008,HS023,HS013,HS027,HS010,HS024,HS001,HS002,HS004,HS007,HS009,HS012,HS014,HS015,HS016,HS017,HS018,HS019,HS020,HS022,HS025,HS026,HS029
349,18110100, ,1,HS027,HS011,HS006,HS028,HS007,HS005,HS003,HS029,HS025,HS016,HS013,HS010,HS017,HS009,HS018,HS015,HS023,HS026,HS030,HS008,HS002,HS019,HS001,HS021,HS020,HS022,HS004,HS012,HS014,HS024
